card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
nl-core-review-081-085/noun-mentor-mentor/target-to-source	Chapter 81-85	vocabulary	81	nl	en	de mentor	["mentor"]	[]		["nl.noun.mentor","nl.noun.mentor.mentor"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Ik ben jullie mentor en ik begeleid deze studiegroep.	["Ik ben jullie mentor en ik begeleid deze studiegroep."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-mentor-mentor/source-to-target	Chapter 81-85	vocabulary	81	en	nl	mentor	["de mentor"]	[]		["nl.noun.mentor","nl.noun.mentor.mentor"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Ik ben jullie mentor en ik begeleid deze studiegroep.	["Ik ben jullie mentor en ik begeleid deze studiegroep."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-bijeenkomst-meeting/target-to-source	Chapter 81-85	vocabulary	81	nl	en	de bijeenkomst	["meeting; gathering"]	[]		["nl.noun.bijeenkomst","nl.noun.bijeenkomst.meeting"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Wanneer is de volgende bijeenkomst?	["Wanneer is de volgende bijeenkomst?"]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-bijeenkomst-meeting/source-to-target	Chapter 81-85	vocabulary	81	en	nl	meeting; gathering	["de bijeenkomst"]	[]		["nl.noun.bijeenkomst","nl.noun.bijeenkomst.meeting"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Wanneer is de volgende bijeenkomst?	["Wanneer is de volgende bijeenkomst?"]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-deelnemer-participant/target-to-source	Chapter 81-85	vocabulary	81	nl	en	de deelnemer	["participant"]	[]		["nl.noun.deelnemer","nl.noun.deelnemer.participant"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Wij hebben meestal zes deelnemers.	["Wij hebben meestal zes deelnemers."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-deelnemer-participant/source-to-target	Chapter 81-85	vocabulary	81	en	nl	participant	["de deelnemer"]	[]		["nl.noun.deelnemer","nl.noun.deelnemer.participant"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Wij hebben meestal zes deelnemers.	["Wij hebben meestal zes deelnemers."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-bijdrage-contribution/target-to-source	Chapter 81-85	vocabulary	81	nl	en	de bijdrage	["contribution"]	[]		["nl.noun.bijdrage","nl.noun.bijdrage.contribution"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Ik weet nog niet wat mijn beste bijdrage kan zijn.	["Ik weet nog niet wat mijn beste bijdrage kan zijn."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-bijdrage-contribution/source-to-target	Chapter 81-85	vocabulary	81	en	nl	contribution	["de bijdrage"]	[]		["nl.noun.bijdrage","nl.noun.bijdrage.contribution"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Ik weet nog niet wat mijn beste bijdrage kan zijn.	["Ik weet nog niet wat mijn beste bijdrage kan zijn."]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-doel-goal/target-to-source	Chapter 81-85	vocabulary	81	nl	en	het doel	["goal; objective"]	[]		["nl.noun.doel","nl.noun.doel.goal"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Hebben zij allemaal hetzelfde doel?	["Hebben zij allemaal hetzelfde doel?"]	["dutch","review-deck","chapter-081-085","vocabulary"]
nl-core-review-081-085/noun-doel-goal/source-to-target	Chapter 81-85	vocabulary	81	en	nl	goal; objective	["het doel"]	[]		["nl.noun.doel","nl.noun.doel.goal"]	[]	[]	units/dutch-core/chapter-081-a-new-member-of-the-study-group/chapter.md	Dialogue evidence	Hebben zij allemaal hetzelfde doel?	["Hebben zij allemaal hetzelfde doel?"]	["dutch","review-deck","chapter-081-085","vocabulary"]
