mapping_code	source_type	source_id	simplified_word	traditional_word	simplified_sentence	traditional_sentence	source_sentence
25_1	tatoeba	420746	吃亏	吃虧	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！	我天天在这里做买卖，不会让你吃亏的！
34_1	authored		与你一起	與你一起	我想与你一起去看海。	我想與你一起去看海。	
44_1	authored		一亿元	一億元	这项工程耗资一亿元。	這項工程耗資一億元。	
45_1	authored		一个人	一個人	她一个人完成了任务。	她一個人完成了任務。	
55_1	tatoeba	1216101	天安门	天安門	前边儿是天安门。	前邊兒是天安門。	前边儿是天安门。
57_1	authored		社会主义	社會主義	这本书讨论社会主义的发展。	這本書討論社會主義的發展。	
65_1	tatoeba	3479866	卫生	衛生	你家好脏啊！你多久没打扫卫生？	你家好髒啊！你多久沒打掃衛生？	你家好脏啊！你多久没打扫卫生？
69_1	tatoeba	408272	飞机	飛機	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。	如今很多的货物都由飞机运送。
70_1	tatoeba	717323	学习	學習	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？	你开着电视怎么能安心学习呢？
72_1	authored		人马	人馬	将军清点了所有人马。	將軍清點了所有人馬。	
73_1	authored		城乡	城鄉	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	
74_0	authored		张三丰	張三丰	传说张三丰精通武术。	傳說張三丰精通武術。	
74_1	tatoeba	487621	丰富	豐富	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	印度是一个烹饪文化丰富的地区。
76_1	tatoeba	332616	开始	開始	我们的计划从一开始就出错了。	我們的計劃從一開始就出錯了。	我们的计划从一开始就出错了。
81_1	tatoeba	432907	无法	無法	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	他因为太疲劳而无法继续前进。
82_0	authored		不知所云	不知所云	他讲了半天，我还是不知所云。	他講了半天，我還是不知所云。	
82_1	authored		云南	雲南	我们明年想去云南旅行。	我們明年想去雲南旅行。	
83_1	tatoeba	9989907	专业	專業	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	这个学校开设了亚非文学专业。
86_1	tatoeba	332835	艺术	藝術	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。	他是日本最伟大的艺术家之一。
90_1	tatoeba	5624956	大厅	大廳	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。	湯姆把夾克掛在大廳衣櫃裡。
94_1	tatoeba	1325276	地区	地區	他的名字在这个地区人尽皆知。	他的名字在這個地區人盡皆知。	他的名字在这个地区人尽皆知。
95_1	tatoeba	606893	历史	歷史	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。	这是一个具有历史价值的城市。
95_2	authored		万历	萬曆	这件瓷器制于万历年间。	這件瓷器制於萬曆年間。	
100_1	tatoeba	420478	汽车	汽車	别等啦，我来招一辆出租汽车。	別等啦，我來招一輛出租汽車。	别等啦，我来招一辆出租汽车。
114_1	tatoeba	392260	宝贝	寶貝	这个球是那个男孩的宝贝。	這個球是那個男孩的寶貝。	这个球是那个男孩的宝贝。
115_1	authored		黄冈	黃岡	黄冈位于湖北省东部。	黃岡位於湖北省東部。	
118_1	tatoeba	333944	意见	意見	是在这点上我们的意见有分歧。	是在這點上我們的意見有分歧。	是在这点上我们的意见有分歧。
122_1	tatoeba	426884	气候	氣候	总体上说，日本的气候温和。	總體上說，日本的氣候溫和。	总体上说，日本的气候温和。
127_1	tatoeba	4440148	增长	增長	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	跟着岁数增长他变得比以前倔。
131_0	authored		前仆后继	前仆後繼	救援人员前仆后继地冲进火场。	救援人員前仆後繼地衝進火場。	
131_1	tatoeba	828800	仆人	僕人	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。	心靈應該當一個好僕人，但心應該是主人。
