mapping_code	source_type	source_id	simplified_word	traditional_word	simplified_sentence	traditional_sentence	source_sentence
6509_1	authored	level-3/6509_1	戋戋	戔戔	戋戋是一个较少见的词语。	戔戔是一個較少見的詞語。	戋戋是一个较少见的词语。
6546_1	authored	level-3/6546_1	闫怀礼	閆懷禮	闫怀礼是一个人名。	閆懷禮是一個人名。	闫怀礼是一个人名。
6549_1	authored	level-3/6549_1	奕䜣	奕訢	奕䜣是一个人名。	奕訢是一個人名。	奕䜣是一个人名。
6559_1	authored	level-3/6559_1	刬恶除奸	剗惡除奸	刬恶除奸是一个成语或固定说法。	剗惡除奸是一個成語或固定說法。	刬恶除奸是一个成语或固定说法。
6561_1	authored	level-3/6561_1	中坜	中壢	中坜是一个地名。	中壢是一個地名。	中坜是一个地名。
6567_1	authored	level-3/6567_1	㧑挹	撝挹	㧑挹是一个较少见的词语。	撝挹是一個較少見的詞語。	㧑挹是一个较少见的词语。
6599_1	authored	level-3/6599_1	觃口	覎口	觃口是一个地名。	覎口是一個地名。	觃口是一个地名。
6607_1	authored	level-3/6607_1	神魂荡飏	神魂盪颺	神魂荡飏是一个较少见的词语。	神魂盪颺是一個較少見的詞語。	神魂荡飏是一个较少见的词语。
6612_1	authored	level-3/6612_1	𣲘溪	潕谿	𣲘溪是一个地名。	潕谿是一個地名。	𣲘溪是一个地名。
6627_1	authored	level-3/6627_1	时诎举赢	時詘舉贏	时诎举赢是一个成语或固定说法。	時詘舉贏是一個成語或固定說法。	时诎举赢是一个成语或固定说法。
6628_1	authored	level-3/6628_1	曲学诐行	曲學詖行	曲学诐行是一个成语或固定说法。	曲學詖行是一個成語或固定說法。	曲学诐行是一个成语或固定说法。
6638_1	authored	level-3/6638_1	八纮同轨	八紘同軌	八纮同轨是一个成语或固定说法。	八紘同軌是一個成語或固定說法。	八纮同轨是一个成语或固定说法。
6641_1	authored	level-3/6641_1	缟纻之交	縞紵之交	缟纻之交是一个成语或固定说法。	縞紵之交是一個成語或固定說法。	缟纻之交是一个成语或固定说法。
6660_1	authored	level-3/6660_1	苧悴	薴悴	苧悴是一个较少见的词语。	薴悴是一個較少見的詞語。	苧悴是一个较少见的词语。
