official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
6509	3	戋	6509_1	戔	false	戋戋	戔戔	authored-example	project-authored	戋戋是一个较少见的词语。	戔戔是一個較少見的詞語。		lexical-context
6520	3	𬣙	6520_1	訏	false	𬣙字	訏字	domain-template	metalinguistic-fallback	古文中可见𬣙。	古文中可見訏。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6521	3	讱	6521_1	訒	false	讱字	訒字	domain-template	metalinguistic-fallback	古文中可见讱。	古文中可見訒。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6536	3	钆	6536_1	釓	false	钆字	釓字	approved-manual	metalinguistic-fallback	这种造影剂含有钆。	這種造影劑含有釓。	Medicine / chemistry: gadolinium, an element used in certain magnetic-resonance contrast agents.	approved-manual
6538	3	伣	6538_1	俔	false	伣字	俔字	domain-template	metalinguistic-fallback	古文中可见伣。	古文中可見俔。	Classical Chinese vocabulary: a rare character used in older descriptions of people, actions, states, sounds, or qualities.	domain-template
6546	3	闫	6546_1	閆	false	闫怀礼	閆懷禮	authored-example	project-authored	闫怀礼是一个人名。	閆懷禮是一個人名。		lexical-context
6547	3	𬇕	6547_1	澫	false	𬇕字	澫字	domain-template	metalinguistic-fallback	地方志中记载了𬇕。	地方志中記載了澫。	Historical geography / hydrology: a rare water-related character used for a river, water feature, sound, or flow.	domain-template
6549	3	䜣	6549_1	訢	false	奕䜣	奕訢	authored-example	project-authored	奕䜣是一个人名。	奕訢是一個人名。		lexical-context
6550	3	讻	6550_1	訩	false	讻字	訩字	domain-template	metalinguistic-fallback	古文中可见讻。	古文中可見訩。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6551	3	𬣞	6551_1	詝	false	𬣞字	詝字	domain-template	metalinguistic-fallback	古文中可见𬣞。	古文中可見詝。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6553	3	𬘓	6553_1	紃	false	𬘓字	紃字	domain-template	metalinguistic-fallback	古代织物记录中出现了𬘓。	古代織物記錄中出現了紃。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6554	3	纩	6554_1	纊	false	纩字	纊字	approved-manual	metalinguistic-fallback	工匠把纩填进冬衣。	工匠把纊填進冬衣。	Traditional textiles: fine cotton or silk wadding used in clothing and bedding.	approved-manual
6558	3	玚	6558_1	瑒	false	玚字	瑒字	domain-template	metalinguistic-fallback	古代玉器或人名记录中可见玚。	古代玉器或人名記錄中可見瑒。	Jade terminology / personal names: a rare character associated with jade, ornament, or name usage.	domain-template
6559	3	刬	6559_1	剗	false	刬恶除奸	剗惡除奸	authored-example	project-authored	刬恶除奸是一个成语或固定说法。	剗惡除奸是一個成語或固定說法。		lexical-context
6560	3	𫭟	6560_1	塸	false	𫭟字	塸字	domain-template	metalinguistic-fallback	地方志中记载了𫭟。	地方志中記載了塸。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6561	3	坜	6561_1	壢	false	中坜	中壢	authored-example	project-authored	中坜是一个地名。	中壢是一個地名。		lexical-context
6564	3	𫭢	6564_1	埨	false	𫭢字	埨字	domain-template	metalinguistic-fallback	地方志中记载了𫭢。	地方志中記載了埨。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6567	3	㧑	6567_1	撝	false	㧑挹	撝挹	authored-example	project-authored	㧑挹是一个较少见的词语。	撝挹是一個較少見的詞語。		lexical-context
6576	3	𫇭	6576_1	蔿	false	𫇭字	蔿字	domain-template	metalinguistic-fallback	本草书中记载了𫇭。	本草書中記載了蔿。	Botany / traditional materia medica: a rare character used in a plant name or botanical description.	domain-template
6582	3	杩	6582_1	榪	false	杩字	榪字	domain-template	metalinguistic-fallback	古代木器或植物记录中可见杩。	古代木器或植物記錄中可見榪。	Woodcraft / historical botany: a rare character associated with wood, a wooden object, or a plant name.	domain-template
6585	3	轪	6585_1	軑	false	轪字	軑字	domain-template	metalinguistic-fallback	古代车辆记录中出现了轪。	古代車輛記錄中出現了軑。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6586	3	𫐄	6586_1	軏	false	𫐄字	軏字	domain-template	metalinguistic-fallback	古代车辆记录中出现了𫐄。	古代車輛記錄中出現了軏。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6591	3	呙	6591_1	咼	false	呙字	咼字	domain-template	metalinguistic-fallback	古文中可见呙。	古文中可見咼。	Classical Chinese vocabulary: a rare character used in older descriptions of people, actions, states, sounds, or qualities.	domain-template
6594	3	𫵷	6594_1	㠣	false	𫵷字	㠣字	domain-template	metalinguistic-fallback	地方志中记载了𫵷。	地方志中記載了㠣。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6599	3	觃	6599_1	覎	false	觃口	覎口	authored-example	project-authored	觃口是一个地名。	覎口是一個地名。		lexical-context
6602	3	㑇	6602_1	㑳	false	㑇字	㑳字	domain-template	metalinguistic-fallback	古文中可见㑇。	古文中可見㑳。	Classical Chinese vocabulary: a rare character used in older descriptions of people, actions, states, sounds, or qualities.	domain-template
6607	3	飏	6607_1	颺	false	神魂荡飏	神魂盪颺	authored-example	project-authored	神魂荡飏是一个较少见的词语。	神魂盪颺是一個較少見的詞語。		lexical-context
6609	3	闶	6609_1	閌	false	闶字	閌字	domain-template	metalinguistic-fallback	古代建筑记录中出现了闶。	古代建築記錄中出現了閌。	Historical architecture: a rare character associated with a gate, room, structure, architectural fitting, or decorative support.	domain-template
6612	3	𣲘	6612_1	潕	false	𣲘溪	潕谿	authored-example	project-authored	𣲘溪是一个地名。	潕谿是一個地名。		lexical-context
6613	3	𣲗	6613_1	湋	false	𣲗字	湋字	domain-template	metalinguistic-fallback	地方志中记载了𣲗。	地方志中記載了湋。	Historical geography / hydrology: a rare water-related character used for a river, water feature, sound, or flow.	domain-template
6614	3	沄	6614_1	澐	false	沄字	澐字	domain-template	metalinguistic-fallback	地方志中记载了沄。	地方志中記載了澐。	Historical geography / hydrology: a rare water-related character used for a river, water feature, sound, or flow.	domain-template
6616	3	𬇙	6616_1	浿	false	𬇙字	浿字	domain-template	metalinguistic-fallback	地方志中记载了𬇙。	地方志中記載了浿。	Historical geography / hydrology: a rare water-related character used for a river, water feature, sound, or flow.	domain-template
6623	3	𬣡	6623_1	諓	false	𬣡字	諓字	domain-template	metalinguistic-fallback	古文中可见𬣡。	古文中可見諓。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6624	3	祃	6624_1	禡	false	祃字	禡字	approved-manual	metalinguistic-fallback	军队出征前举行祃祭。	軍隊出征前舉行禡祭。	Ancient military religion: a sacrifice performed by an army at its encampment or place of deployment.	approved-manual
6625	3	诇	6625_1	詗	false	诇字	詗字	domain-template	metalinguistic-fallback	古文中可见诇。	古文中可見詗。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6627	3	诎	6627_1	詘	false	时诎举赢	時詘舉贏	authored-example	project-authored	时诎举赢是一个成语或固定说法。	時詘舉贏是一個成語或固定說法。		lexical-context
6628	3	诐	6628_1	詖	false	曲学诐行	曲學詖行	authored-example	project-authored	曲学诐行是一个成语或固定说法。	曲學詖行是一個成語或固定說法。		lexical-context
6629	3	屃	6629_1	屓	false	屃字	屓字	domain-template	metalinguistic-fallback	古代建筑记录中出现了屃。	古代建築記錄中出現了屓。	Historical architecture: a rare character associated with a gate, room, structure, architectural fitting, or decorative support.	domain-template
6630	3	𫸩	6630_1	彄	false	𫸩字	彄字	curated-domain	metalinguistic-fallback	弓匠正在修整𫸩。	弓匠正在修整彄。	Historical archery: the nock at the end of a bow or a term associated with stretching a bow.	curated-domain
6638	3	纮	6638_1	紘	false	八纮同轨	八紘同軌	authored-example	project-authored	八纮同轨是一个成语或固定说法。	八紘同軌是一個成語或固定說法。		lexical-context
