card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
fr-core-review-006-010/fr-noun-samedi-saturday/target-to-source	Chapter 6-10	vocabulary	6	fr	en	le samedi	["Saturday"]	[]	le samedi reviews the canonical Saturday sense first introduced in Chapter 6.	["fr.noun.samedi","fr.noun.samedi.saturday"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","target-to-source"]
fr-core-review-006-010/fr-noun-samedi-saturday/source-to-target	Chapter 6-10	vocabulary	6	en	fr	Saturday	["le samedi"]	[]	le samedi reviews the canonical Saturday sense first introduced in Chapter 6.	["fr.noun.samedi","fr.noun.samedi.saturday"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","source-to-target"]
fr-core-review-006-010/fr-noun-bibliotheque-library/target-to-source	Chapter 6-10	vocabulary	6	fr	en	la bibliothèque	["library"]	[]	la bibliothèque reviews the canonical library sense first introduced in Chapter 6.	["fr.noun.bibliotheque","fr.noun.bibliotheque.library"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","target-to-source"]
fr-core-review-006-010/fr-noun-bibliotheque-library/source-to-target	Chapter 6-10	vocabulary	6	en	fr	library	["la bibliothèque"]	[]	la bibliothèque reviews the canonical library sense first introduced in Chapter 6.	["fr.noun.bibliotheque","fr.noun.bibliotheque.library"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","source-to-target"]
fr-core-review-006-010/fr-verb-travailler-work/target-to-source	Chapter 6-10	vocabulary	6	fr	en	travailler	["to work"]	[]	travailler reviews the canonical to work sense first introduced in Chapter 6.	["fr.verb.travailler","fr.verb.travailler.work"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","target-to-source"]
fr-core-review-006-010/fr-verb-travailler-work/source-to-target	Chapter 6-10	vocabulary	6	en	fr	to work	["travailler"]	[]	travailler reviews the canonical to work sense first introduced in Chapter 6.	["fr.verb.travailler","fr.verb.travailler.work"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 1	Le samedi, Lina travaille à la bibliothèque.	["Le samedi, Lina travaille à la bibliothèque."]	["french","review-deck","chapter-006-010","vocabulary","source-to-target"]
fr-core-review-006-010/fr-verb-arriver-arrive/target-to-source	Chapter 6-10	vocabulary	6	fr	en	arriver	["to arrive"]	[]	arriver reviews the canonical to arrive sense first introduced in Chapter 6.	["fr.verb.arriver","fr.verb.arriver.arrive"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 2	Elle arrive le matin.	["Elle arrive le matin."]	["french","review-deck","chapter-006-010","vocabulary","target-to-source"]
fr-core-review-006-010/fr-verb-arriver-arrive/source-to-target	Chapter 6-10	vocabulary	6	en	fr	to arrive	["arriver"]	[]	arriver reviews the canonical to arrive sense first introduced in Chapter 6.	["fr.verb.arriver","fr.verb.arriver.arrive"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 2	Elle arrive le matin.	["Elle arrive le matin."]	["french","review-deck","chapter-006-010","vocabulary","source-to-target"]
fr-core-review-006-010/fr-verb-chercher-look-for/target-to-source	Chapter 6-10	vocabulary	6	fr	en	chercher	["to look for; search for"]	[]	chercher reviews the canonical to look for; search for sense first introduced in Chapter 6.	["fr.verb.chercher","fr.verb.chercher.look-for"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 4	Lina cherche un livre.	["Lina cherche un livre."]	["french","review-deck","chapter-006-010","vocabulary","target-to-source"]
fr-core-review-006-010/fr-verb-chercher-look-for/source-to-target	Chapter 6-10	vocabulary	6	en	fr	to look for; search for	["chercher"]	[]	chercher reviews the canonical to look for; search for sense first introduced in Chapter 6.	["fr.verb.chercher","fr.verb.chercher.look-for"]	[]	[]	units/french-core/chapter-006-a-saturday-at-the-library/chapter.md	Narrative > line 4	Lina cherche un livre.	["Lina cherche un livre."]	["french","review-deck","chapter-006-010","vocabulary","source-to-target"]
