order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
1	3509_1	津巴布韦	津巴布韋	jīn bā bù wéi		Zimbabwe	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。	tatoeba	801434	津巴布韋曾經是英國的殖民地。	CC-CEDICT	
2	3509_1	曾经	曾經	céng jīng		once	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。	tatoeba	801434	津巴布韋曾經是英國的殖民地。	CC-CEDICT	
3	3509_1	英国	英國	yīng guó		United Kingdom	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。	tatoeba	801434	津巴布韋曾經是英國的殖民地。	CC-CEDICT	
4	3509_1	殖民地	殖民地	zhí mín dì		colony	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。	tatoeba	801434	津巴布韋曾經是英國的殖民地。	CC-CEDICT	
5	3522_1	门闩	門閂	mén shuān		horizontal bar to hold a door closed	他把门闩上。	他把門閂上。	tatoeba	350674	他把门闩上。	CC-CEDICT	
6	3523_1	讣告	訃告	fù gào		obituary	报纸讣告版面不断记录着新增的死亡。	報紙訃告版面不斷記錄著新增的死亡。	leipzig	zho_news_2020_300K:158271	报纸讣告版面不断记录着新增的死亡。	CC-CEDICT	
7	3523_1	版面	版面	bǎn miàn		page of a publication	报纸讣告版面不断记录着新增的死亡。	報紙訃告版面不斷記錄著新增的死亡。	leipzig	zho_news_2020_300K:158271	报纸讣告版面不断记录着新增的死亡。	CC-CEDICT	
8	3523_1	新增	新增	xīn zēng		to add	报纸讣告版面不断记录着新增的死亡。	報紙訃告版面不斷記錄著新增的死亡。	leipzig	zho_news_2020_300K:158271	报纸讣告版面不断记录着新增的死亡。	CC-CEDICT	
9	3537_1	政协	政協	zhèng xié		CPPCC	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
10	3537_1	闭幕	閉幕	bì mù		the curtain falls	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
11	3537_1	周恩来	周恩來	zhōu ēn lái		Zhou Enlai	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
