card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
vi-core-review-031-035/vi-conjunction-nhung-but/target-to-source	Chapter 31-35	vocabulary	31	vi	en	nhưng	["but"]	[]	nhưng means but; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.conjunction.nhung","vi.conjunction.nhung.but"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích.","Nhưng báo cáo chưa hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-conjunction-nhung-but/source-to-target	Chapter 31-35	vocabulary	31	en	vi	but	["nhưng"]	[]	but reviews the canonical Vietnamese expression nhưng, first introduced in Chapter 31.	["vi.conjunction.nhung","vi.conjunction.nhung.but"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích.","Nhưng báo cáo chưa hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-particle-nhung-plural-marker-for-a-group/target-to-source	Chapter 31-35	vocabulary	31	vi	en	những	["plural marker for a group"]	[]	những means plural marker for a group; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.particle.nhung","vi.particle.nhung.plural-marker-for-a-group"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Đây là những nhiệm vụ.","Những hình vẽ ở đây."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-particle-nhung-plural-marker-for-a-group/source-to-target	Chapter 31-35	vocabulary	31	en	vi	plural marker for a group	["những"]	[]	plural marker for a group reviews the canonical Vietnamese expression những, first introduced in Chapter 31.	["vi.particle.nhung","vi.particle.nhung.plural-marker-for-a-group"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Đây là những nhiệm vụ.","Những hình vẽ ở đây."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-noun-du-an-project/target-to-source	Chapter 31-35	vocabulary	31	vi	en	dự án	["project"]	[]	dự án means project; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.noun.du-an","vi.noun.du-an.project"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 1	Nhóm có một dự án.	["Nhóm có một dự án.","Nguyễn Mai Chi trình bày dự án.","Dự án đã hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-noun-du-an-project/source-to-target	Chapter 31-35	vocabulary	31	en	vi	project	["dự án"]	[]	project reviews the canonical Vietnamese expression dự án, first introduced in Chapter 31.	["vi.noun.du-an","vi.noun.du-an.project"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 1	Nhóm có một dự án.	["Nhóm có một dự án.","Nguyễn Mai Chi trình bày dự án.","Dự án đã hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-noun-ap-phich-poster/target-to-source	Chapter 31-35	vocabulary	31	vi	en	áp phích	["poster"]	[]	áp phích means poster; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.noun.ap-phich","vi.noun.ap-phich.poster"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích.","Áp phích rất rõ."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-noun-ap-phich-poster/source-to-target	Chapter 31-35	vocabulary	31	en	vi	poster	["áp phích"]	[]	poster reviews the canonical Vietnamese expression áp phích, first introduced in Chapter 31.	["vi.noun.ap-phich","vi.noun.ap-phich.poster"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích.","Áp phích rất rõ."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-noun-hinh-ve-drawing/target-to-source	Chapter 31-35	vocabulary	31	vi	en	hình vẽ	["drawing"]	[]	hình vẽ means drawing; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.noun.hinh-ve","vi.noun.hinh-ve.drawing"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Những hình vẽ ở đây."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-noun-hinh-ve-drawing/source-to-target	Chapter 31-35	vocabulary	31	en	vi	drawing	["hình vẽ"]	[]	drawing reviews the canonical Vietnamese expression hình vẽ, first introduced in Chapter 31.	["vi.noun.hinh-ve","vi.noun.hinh-ve.drawing"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.","Những hình vẽ ở đây."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-noun-nhiem-vu-task/target-to-source	Chapter 31-35	vocabulary	31	vi	en	nhiệm vụ	["task"]	[]	nhiệm vụ means task; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.noun.nhiem-vu","vi.noun.nhiem-vu.task"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 3	Đây là những nhiệm vụ.	["Đây là những nhiệm vụ.","Nhiệm vụ đã hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-noun-nhiem-vu-task/source-to-target	Chapter 31-35	vocabulary	31	en	vi	task	["nhiệm vụ"]	[]	task reviews the canonical Vietnamese expression nhiệm vụ, first introduced in Chapter 31.	["vi.noun.nhiem-vu","vi.noun.nhiem-vu.task"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 3	Đây là những nhiệm vụ.	["Đây là những nhiệm vụ.","Nhiệm vụ đã hoàn thành."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-verb-thu-thap-collect/target-to-source	Chapter 31-35	vocabulary	31	vi	en	thu thập	["collect"]	[]	thu thập means collect; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.verb.thu-thap","vi.verb.thu-thap.collect"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-verb-thu-thap-collect/source-to-target	Chapter 31-35	vocabulary	31	en	vi	collect	["thu thập"]	[]	collect reviews the canonical Vietnamese expression thu thập, first introduced in Chapter 31.	["vi.verb.thu-thap","vi.verb.thu-thap.collect"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 2	Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích.	["Tôi thu thập những hình vẽ, nhưng Lê Hoàng Nam làm áp phích."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-verb-trinh-bay-present-display/target-to-source	Chapter 31-35	vocabulary	31	vi	en	trình bày	["present; display","present","display"]	[]	trình bày means present; display; this canonical sense was first introduced in Vietnamese Core Chapter 31.	["vi.verb.trinh-bay","vi.verb.trinh-bay.present-display"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 4	Nguyễn Mai Chi trình bày dự án.	["Nguyễn Mai Chi trình bày dự án.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-verb-trinh-bay-present-display/source-to-target	Chapter 31-35	vocabulary	31	en	vi	present; display	["trình bày"]	[]	present; display reviews the canonical Vietnamese expression trình bày, first introduced in Chapter 31.	["vi.verb.trinh-bay","vi.verb.trinh-bay.present-display"]	[]	[]	units/vietnamese-core/chapter-031-basic-sentences-31/chapter.md	Dialogue > line 4	Nguyễn Mai Chi trình bày dự án.	["Nguyễn Mai Chi trình bày dự án.","Tôi làm báo cáo, nhưng Lê Hoàng Nam trình bày áp phích."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-conjunction-vi-because/target-to-source	Chapter 31-35	vocabulary	32	vi	en	vì	["because"]	[]	vì means because; this canonical sense was first introduced in Vietnamese Core Chapter 32.	["vi.conjunction.vi","vi.conjunction.vi.because"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 3	Nguyễn Thị Lan làm tình nguyện vì trạm cứu hộ cần người.	["Nguyễn Thị Lan làm tình nguyện vì trạm cứu hộ cần người.","Maria Garcia rửa chuồng vì chuồng chưa sạch sẽ.","Nguyễn Thị Lan kiểm tra chuồng vì một động vật đang nghỉ."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-conjunction-vi-because/source-to-target	Chapter 31-35	vocabulary	32	en	vi	because	["vì"]	[]	because reviews the canonical Vietnamese expression vì, first introduced in Chapter 32.	["vi.conjunction.vi","vi.conjunction.vi.because"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 3	Nguyễn Thị Lan làm tình nguyện vì trạm cứu hộ cần người.	["Nguyễn Thị Lan làm tình nguyện vì trạm cứu hộ cần người.","Maria Garcia rửa chuồng vì chuồng chưa sạch sẽ.","Nguyễn Thị Lan kiểm tra chuồng vì một động vật đang nghỉ."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-particle-cac-plural-marker-for-an-identified-set/target-to-source	Chapter 31-35	vocabulary	32	vi	en	các	["plural marker for an identified set"]	[]	các means plural marker for an identified set; this canonical sense was first introduced in Vietnamese Core Chapter 32.	["vi.particle.cac","vi.particle.cac.plural-marker-for-an-identified-set"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 2	Các động vật cần chăm sóc.	["Các động vật cần chăm sóc.","Các động vật có đồ ăn.","Trạm cứu hộ có các động vật."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-particle-cac-plural-marker-for-an-identified-set/source-to-target	Chapter 31-35	vocabulary	32	en	vi	plural marker for an identified set	["các"]	[]	plural marker for an identified set reviews the canonical Vietnamese expression các, first introduced in Chapter 32.	["vi.particle.cac","vi.particle.cac.plural-marker-for-an-identified-set"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 2	Các động vật cần chăm sóc.	["Các động vật cần chăm sóc.","Các động vật có đồ ăn.","Trạm cứu hộ có các động vật."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
vi-core-review-031-035/vi-noun-dong-vat-animal/target-to-source	Chapter 31-35	vocabulary	32	vi	en	động vật	["animal"]	[]	động vật means animal; this canonical sense was first introduced in Vietnamese Core Chapter 32.	["vi.noun.dong-vat","vi.noun.dong-vat.animal"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 2	Các động vật cần chăm sóc.	["Các động vật cần chăm sóc.","Các động vật có đồ ăn.","Nguyễn Thị Lan chăm sóc động vật."]	["vietnamese","review-deck","chapter-031-035","vocabulary","target-to-source"]
vi-core-review-031-035/vi-noun-dong-vat-animal/source-to-target	Chapter 31-35	vocabulary	32	en	vi	animal	["động vật"]	[]	animal reviews the canonical Vietnamese expression động vật, first introduced in Chapter 32.	["vi.noun.dong-vat","vi.noun.dong-vat.animal"]	[]	[]	units/vietnamese-core/chapter-032-basic-sentences-32/chapter.md	Narrative > paragraph 1 > sentence 2	Các động vật cần chăm sóc.	["Các động vật cần chăm sóc.","Các động vật có đồ ăn.","Nguyễn Thị Lan chăm sóc động vật."]	["vietnamese","review-deck","chapter-031-035","vocabulary","source-to-target"]
