official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
3509	2	韦	3509_1	韋	false	津巴布韦	津巴布韋	corpus-example	tatoeba:801434	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。		lexical-context
3522	2	闩	3522_1	閂	false	门闩	門閂	corpus-example	tatoeba:350674	他把门闩上。	他把門閂上。		lexical-context
3523	2	讣	3523_1	訃	false	讣告	訃告	corpus-example	leipzig:zho_news_2020_300K:158271	报纸讣告版面不断记录着新增的死亡。	報紙訃告版面不斷記錄著新增的死亡。		lexical-context
3537	2	劢	3537_1	勱	false	张君劢	張君勱	corpus-example	leipzig:zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。		lexical-context
3550	2	刍	3550_1	芻	false	反刍	反芻	corpus-example	tatoeba:1551891	牛是一种反刍类的哺乳动物。	牛是一種反芻類的哺乳動物。		lexical-context
3551	2	邝	3551_1	鄺	false	邝天雄	鄺天雄	authored-example	project-authored	邝天雄是一个人名。	鄺天雄是一個人名。		lexical-context
3554	2	讦	3554_1	訐	false	攻讦	攻訐	corpus-example	leipzig:zho_news_2020_300K:170953	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	無論是出於哪一種心理，辱罵、攻訐、造謠明星都是不可取的。		lexical-context
3555	2	讧	3555_1	訌	false	内讧	內訌	corpus-example	tatoeba:1409086	他们开始内讧了。	他們開始內訌了。		lexical-context
3556	2	讪	3556_1	訕	false	搭讪	搭訕	corpus-example	tatoeba:1806670	在酒吧有没有美女找你搭讪？	在酒吧有沒有美女找你搭訕？		lexical-context
3557	2	讫	3557_1	訖	false	起讫	起訖	corpus-example	leipzig:zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、		lexical-context
3562	2	驭	3562_1	馭	false	驾驭	駕馭	corpus-example	tatoeba:13610551	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。		lexical-context
3566	2	玑	3566_1	璣	false	天玑	天璣	authored-example	project-authored	天玑是一颗恒星。	天璣是一顆恆星。		lexical-context
3574	2	圹	3574_1	壙	false	川圹	川壙	authored-example	project-authored	川圹是一个较少见的词语。	川壙是一個較少見的詞語。		lexical-context
3575	2	扪	3575_1	捫	false	扪心自问	捫心自問	corpus-example	leipzig:zho_news_2020_300K:180248	有时候扪心自问，这是一种病，得治。	有時候捫心自問，這是一種病，得治。		lexical-context
3584	2	芗	3584_1	薌	false	芗城	薌城	corpus-example	leipzig:zho_wikipedia_2018_1M:833326	芗城区还有市区环城河以及大小河塘。	薌城區還有市區環城河以及大小河塘。		lexical-context
3586	2	厍	3586_1	厙	false	厍狻保	厙狻保	authored-example	project-authored	厍狻保是一个较少见的词语。	厙狻保是一個較少見的詞語。		lexical-context
3597	2	钇	3597_1	釔	false	磷钇矿	磷釔礦	authored-example	project-authored	磷钇矿是一种材料或化学物质。	磷釔礦是一種材料或化學物質。		lexical-context
3603	2	伛	3603_1	傴	false	伛偻	傴僂	authored-example	project-authored	伛偻是一个较少见的词语。	傴僂是一個較少見的詞語。		lexical-context
3607	2	伥	3607_1	倀	false	为虎作伥	為虎作倀	corpus-example	leipzig:zho_news_2020_300K:37620	他仗着后台硬，为虎作伥，鱼肉乡里。	他仗著後臺硬，為虎作倀，魚肉鄉里。		lexical-context
3608	2	伧	3608_1	傖	false	寒伧	寒傖	authored-example	project-authored	寒伧是一个描写性质或状态的词。	寒傖是一個描寫性質或狀態的詞。		lexical-context
3617	2	犷	3617_1	獷	false	粗犷	粗獷	corpus-example	leipzig:zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。		lexical-context
3618	2	犸	3618_1	獁	false	猛犸象	猛獁象	corpus-example	leipzig:zho_wikipedia_2018_1M:780163	，結果產生的樣本近似于真正的猛犸象細胞。	，結果產生的樣本近似於真正的猛獁象細胞。		lexical-context
3620	2	凫	3620_1	鳬	false	凫水	鳬水	authored-example	project-authored	凫水表示游水。	鳬水表示游水。		lexical-context
3621	2	邬	3621_1	鄔	false	邬君临	鄔君臨	authored-example	project-authored	邬君临是一个人名。	鄔君臨是一個人名。		lexical-context
3622	2	饧	3622_1	餳	false	饧面	餳麵	authored-example	project-authored	饧面表示一种动作。	餳麵表示一種動作。		lexical-context
3630	2	忏	3630_1	懺	false	忏悔	懺悔	corpus-example	tatoeba:838375	犯错出忏悔心，才能清净无烦恼。	犯錯出懺悔心，才能清淨無煩惱。		lexical-context
3631	2	讴	3631_1	謳	false	讴歌	謳歌	corpus-example	leipzig:zho_news_2020_300K:124834	容若一向讴歌爱情，字字句句都是爱情的悲唱。	容若一向謳歌愛情，字字句句都是愛情的悲唱。		lexical-context
3632	2	讵	3632_1	詎	false	讵非所料	詎非所料	authored-example	project-authored	讵非所料是一个成语或固定说法。	詎非所料是一個成語或固定說法。		lexical-context
3634	2	讷	3634_1	訥	false	木讷	木訥	corpus-example	leipzig:zho_news_2020_300K:181849	木讷人，有酒镇压独坐一处不敢动，有思无思。	木訥人，有酒鎮壓獨坐一處不敢動，有思無思。		lexical-context
