order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
1	6_1	工厂	工廠	gōng chǎng		factory	这家工厂很大。	這家工廠很大。	preexisting			CC-CEDICT	
2	8_0	古人	古人	gǔ rén		people of ancient times	古人有时会占卜。	古人有時會占卜。	preexisting			CC-CEDICT	
3	8_0	有时	有時	yǒu shí		sometimes	古人有时会占卜。	古人有時會占卜。	preexisting			CC-CEDICT	
4	8_0	占卜	占卜	zhān bǔ		to divine	古人有时会占卜。	古人有時會占卜。	preexisting			CC-CEDICT	
5	8_1	一个	一個	yī ge		a	我买了一个萝卜。	我買了一個蘿蔔。	preexisting			CC-CEDICT	
6	8_1	萝卜	蘿蔔	luó bo	luó bó	radish	我买了一个萝卜。	我買了一個蘿蔔。	preexisting			CC-CEDICT	Taiwan MOE Concise Dictionary
7	12_1	儿童	兒童	ér tóng		child	儿童需要保护。	兒童需要保護。	preexisting			CC-CEDICT	
8	12_1	需要	需要	xū yào		to need	儿童需要保护。	兒童需要保護。	preexisting			CC-CEDICT	
9	12_1	保护	保護	bǎo hù		to protect	儿童需要保护。	兒童需要保護。	preexisting			CC-CEDICT	
10	14_0	杯子	杯子	bēi zi		cup	杯子放在茶几上。	杯子放在茶几上。	preexisting			CC-CEDICT	
11	14_0	茶几	茶几	chá jī		small side table	杯子放在茶几上。	杯子放在茶几上。	preexisting			CC-CEDICT	
12	14_1	这里	這裡	zhè lǐ		here	这里有几个苹果。	這裡有幾個蘋果。	preexisting			CC-CEDICT	
13	14_1	几个	幾個	jǐ ge		a few	这里有几个苹果。	這裡有幾個蘋果。	preexisting			CC-CEDICT	
14	14_1	苹果	蘋果	píng guǒ		apple	这里有几个苹果。	這裡有幾個蘋果。	preexisting			CC-CEDICT	
15	17_0	已经	已經	yǐ jīng		already	他已经吃了。	他已經吃了。	preexisting			CC-CEDICT	
16	17_1	了解	瞭解	liǎo jiě		to understand	我已经了解事情的经过。	我已經瞭解事情的經過。	preexisting			CC-CEDICT	
17	17_1	事情	事情	shì qing	shì qíng	affair	我已经了解事情的经过。	我已經瞭解事情的經過。	preexisting			CC-CEDICT	Taiwan MOE Concise Dictionary
18	17_1	经过	經過	jīng guò		to pass	我已经了解事情的经过。	我已經瞭解事情的經過。	preexisting			CC-CEDICT	
19	23_0	不要	不要	bù yào		don't!	请不要干涉。	請不要干涉。	preexisting			CC-CEDICT	
20	23_0	干涉	干涉	gān shè		to interfere	请不要干涉。	請不要干涉。	preexisting			CC-CEDICT	
21	23_1	今天	今天	jīn tiān		today	今天天气很干燥。	今天天氣很乾燥。	preexisting			CC-CEDICT	
22	23_1	天气	天氣	tiān qì		weather	今天天气很干燥。	今天天氣很乾燥。	preexisting			CC-CEDICT	
23	23_1	干燥	乾燥	gān zào		dry	今天天气很干燥。	今天天氣很乾燥。	preexisting			CC-CEDICT	
24	23_2	正在	正在	zhèng zài		to be in the process of	他正在干活。	他正在幹活。	preexisting			CC-CEDICT	
25	23_2	干活	幹活	gàn huó		to work	他正在干活。	他正在幹活。	preexisting			CC-CEDICT	
